"","Day","Station","Hour","Mean","Variance"
"334","Weekday","Cubao",17,2085.59972692308,895.204382873391
"335","Weekday","Cubao",18,2140.98672692308,972.023008179763
"336","Weekday","Cubao",19,1884.42115384615,620.456083361468
"337","Weekday","Cubao",20,1467.83020384615,430.86043664065
"338","Weekday","Cubao",21,496.639069230769,76.0410098121198
"339","Weekday","Cubao",22,26.6862653846154,3.48719268023941
"340","Weekday","Cubao",23,0.102765384615385,0.00946864081537158
"341","Weekday","Santolan",4,7.85130384615385,0.0608372585455278
"342","Weekday","Santolan",5,74.4714423076923,2.4874211545125
"343","Weekday","Santolan",6,207.236946153846,20.8542671186571
"344","Weekday","Santolan",7,356.636957692308,65.7514094881716
"345","Weekday","Santolan",8,333.556853846154,49.56805080933
"346","Weekday","Santolan",9,306.558119230769,30.7920312128549
"347","Weekday","Santolan",10,292.007096153846,28.7330463151761
"348","Weekday","Santolan",11,303.5167,32.1179512802151
"349","Weekday","Santolan",12,308.239407692308,28.2581434908873
"350","Weekday","Santolan",13,312.881092307692,30.9839442244611
"351","Weekday","Santolan",14,343.401938461538,39.1769474797875
"352","Weekday","Santolan",15,398.761723076923,49.5800259978321
"353","Weekday","Santolan",16,484.649153846154,82.5007069140146
"354","Weekday","Santolan",17,661.762723076923,182.968961907707
"355","Weekday","Santolan",18,573.445157692308,138.234413287829
"356","Weekday","Santolan",19,372.626338461538,46.1188942329312
"357","Weekday","Santolan",20,244.371407692308,20.8319674947729
"358","Weekday","Santolan",21,132.351030769231,4.95334962441732
"359","Weekday","Santolan",22,31.0378730769231,1.3867274018249
"360","Weekday","Santolan",23,0.220069230769231,0.0379189911212988
"361","Weekday","Ortigas",4,4.38212692307692,0.0434165880525496
"362","Weekday","Ortigas",5,72.1798423076923,1.93551333758315
"363","Weekday","Ortigas",6,286.907130769231,28.0550315505446
"364","Weekday","Ortigas",7,422.478407692308,70.5172833633041
"365","Weekday","Ortigas",8,404.478230769231,67.0332809495886
"366","Weekday","Ortigas",9,398.146153846154,61.9061377649839
"367","Weekday","Ortigas",10,381.008938461538,51.6591721754891
"368","Weekday","Ortigas",11,417.305611538462,61.6253711154794
"369","Weekday","Ortigas",12,482.311734615385,62.1734512974365
"370","Weekday","Ortigas",13,500.933092307692,66.9195461020784
"371","Weekday","Ortigas",14,609.939007692308,95.2803675544776
"372","Weekday","Ortigas",15,807.889915384615,178.524534669522
"373","Weekday","Ortigas",16,993.291876923077,290.292881482903
"374","Weekday","Ortigas",17,1344.6087,698.564532984997
"375","Weekday","Ortigas",18,1380.98174230769,828.697727653556
"376","Weekday","Ortigas",19,1024.39865769231,430.769249681619
"377","Weekday","Ortigas",20,706.848653846154,216.993908457274
"378","Weekday","Ortigas",21,356.302723076923,55.0004889910028
"379","Weekday","Ortigas",22,62.4243461538462,2.31380772932696
"380","Weekday","Ortigas",23,0.158153846153846,0.0241476032245263
"381","Weekday","Shaw Blvd",4,32.8556307692308,1.88628863632864
"382","Weekday","Shaw Blvd",5,453.305473076923,65.6987056001416
"383","Weekday","Shaw Blvd",6,1103.24317307692,314.186421012358
"384","Weekday","Shaw Blvd",7,1539.36778846154,636.565200886908
"385","Weekday","Shaw Blvd",8,1399.01313846154,443.87407604267
"386","Weekday","Shaw Blvd",9,1300.55474230769,298.854414158404
"387","Weekday","Shaw Blvd",10,1215.41202692308,233.811936564834
"388","Weekday","Shaw Blvd",11,1251.00383846154,225.342739810758
"389","Weekday","Shaw Blvd",12,1345.22078846154,293.390374708658
"390","Weekday","Shaw Blvd",13,1350.7334,283.014852991216
"391","Weekday","Shaw Blvd",14,1438.24654230769,313.26213972551
"392","Weekday","Shaw Blvd",15,1651.63886153846,419.384163352465
"393","Weekday","Shaw Blvd",16,1821.50452307692,589.73813984138
"394","Weekday","Shaw Blvd",17,2024.76381153846,945.833678970672
"395","Weekday","Shaw Blvd",18,2112.55006923077,1135.78280999455
"396","Weekday","Shaw Blvd",19,1790.18299615385,727.870922427739
"397","Weekday","Shaw Blvd",20,1430.42590769231,501.168429291777
"398","Weekday","Shaw Blvd",21,857.112057692308,183.350380184548
"399","Weekday","Shaw Blvd",22,136.744184615385,16.3865430794108
"400","Weekday","Shaw Blvd",23,0.675919230769231,0.435986502464002
"401","Weekday","Boni Ave",4,10.0792192307692,0.294060874350682
"402","Weekday","Boni Ave",5,268.004623076923,26.6062584951224
"403","Weekday","Boni Ave",6,913.440019230769,277.602759667582
"404","Weekday","Boni Ave",7,1324.89646538462,675.231446452947
"405","Weekday","Boni Ave",8,1101.19359230769,373.866296924795
"406","Weekday","Boni Ave",9,886.241561538461,145.075798555419
"407","Weekday","Boni Ave",10,791.999469230769,90.0651994443556
"408","Weekday","Boni Ave",11,780.3309,86.5187866985921
"409","Weekday","Boni Ave",12,829.747861538462,107.849474131883
"410","Weekday","Boni Ave",13,815.7893,118.668606779501
"411","Weekday","Boni Ave",14,849.409026923077,112.866147221052
"412","Weekday","Boni Ave",15,906.791476923077,128.105701994065
"413","Weekday","Boni Ave",16,969.734873076923,167.138979549239
"414","Weekday","Boni Ave",17,1187.06436538462,368.488270737824
"415","Weekday","Boni Ave",18,1158.20338461538,382.429389738851
"416","Weekday","Boni Ave",19,998.967969230769,280.881558369257
"417","Weekday","Boni Ave",20,777.984388461539,198.226218282173
"418","Weekday","Boni Ave",21,525.777915384615,90.5310542115488
"419","Weekday","Boni Ave",22,128.933423076923,8.90051536595768
"420","Weekday","Boni Ave",23,0.146292307692308,0.0206612930089853
"421","Weekday","Guadalupe",4,4.69637692307692,0.137875014600399
"422","Weekday","Guadalupe",5,371.417357692308,55.9801866042226
"423","Weekday","Guadalupe",6,1116.45286153846,313.539997696868
"424","Weekday","Guadalupe",7,1572.90263461538,669.316421299628
"425","Weekday","Guadalupe",8,1502.93777307692,524.892464016665
"426","Weekday","Guadalupe",9,1392.45495384615,320.904953726744
"427","Weekday","Guadalupe",10,1244.83196923077,212.632229428482
"428","Weekday","Guadalupe",11,1186.80305,181.425756587223
"429","Weekday","Guadalupe",12,1181.61251923077,226.749722414352
"430","Weekday","Guadalupe",13,1146.29378076923,237.516322451312
"431","Weekday","Guadalupe",14,1118.65940769231,206.524877141698
"432","Weekday","Guadalupe",15,1144.21775,194.118823361453
"433","Weekday","Guadalupe",16,1230.57968076923,268.211617814723
"434","Weekday","Guadalupe",17,1284.428,316.735464008387
"435","Weekday","Guadalupe",18,1300.49513461538,387.030521568536
"436","Weekday","Guadalupe",19,1088.94930769231,251.747666536359
"437","Weekday","Guadalupe",20,910.587853846154,203.079572131836
"438","Weekday","Guadalupe",21,647.937026923077,125.430077323936
"439","Weekday","Guadalupe",22,109.692788461538,8.89734556116768
"440","Weekday","Guadalupe",23,0.237230769230769,0.0543321072551842
"441","Weekday","Buendia",4,0.245761538461538,0.00145026085256854
